Hu0,a,raw_sleep_period,sleep_period
0.878947368,0.136470588,30.8005625,30.80598264
0.878947368,0.147058824,30.82175,30.80598264
0.878947368,0.157647059,30.80875,30.80598264
0.878947368,0.168235294,30.8260625,30.80598264
0.878947368,0.178823529,30.798375,30.80598264
0.878947368,0.189411765,30.8436875,30.80598264
0.878947368,0.2,30.7729375,30.80598264
0.878947368,0.2,30.7729375,30.80598264
0.878947368,0.2,30.7729375,30.80598264
0.9,0.02,31.6198125,31.63285313
0.9,0.030588235,31.6059375,31.63324653
0.9,0.041176471,31.6473125,31.63324653
0.9,0.051764706,31.6475,31.63324653
0.9,0.062352941,31.637,31.63324653
0.9,0.072941176,31.6073125,31.63324653
0.9,0.083529412,31.6354375,31.63324653
0.9,0.094117647,31.655,31.63324653
0.9,0.104705882,31.6534375,31.63324653
0.9,0.115294118,31.6501875,31.63324653
0.9,0.125882353,31.60925,31.63324653
0.9,0.136470588,31.651125,31.63324653
0.9,0.147058824,31.607125,31.63324653
0.9,0.157647059,31.653375,31.63324653
0.9,0.168235294,31.62275,31.63324653
0.9,0.178823529,31.640625,31.63324653
0.9,0.189411765,31.6293125,31.63324653
0.9,0.2,31.6293125,31.63324653
0.9,0.2,31.6293125,31.63324653
0.9,0.2,31.6259375,31.63324653
