Hu0,a,error,skew,median,duration,swp,r_value,p_value
0.532,0.152,315.3124847,-0.791893135,22.3,7.791750209,17.32677945,-0.3236548426,3.50E-11
0.532,0.156,299.6604237,-0.5853307242,21.86666667,7.842982456,17.308066,-0.3684719545,2.82E-14
0.532,0.16,126.2581242,-0.2235309233,15.8,7.87406015,17.31041771,-0.3611616552,9.74E-14
0.532,0.164,14.11352147,0.08776638445,8.3,7.901420217,17.31954052,-0.3739807696,1.08E-14
0.532,0.168,12.23064194,0.4205957138,8.066666667,7.925062657,17.33114035,-0.390957778,5.07E-16
0.532,0.172,9.559588463,0.6660312247,1.541666667,7.94925,17.30540518,-0.4674850329,4.13E-23
0.532,0.176,11.88684577,1.061675168,1.216666667,7.976190476,17.33760234,-0.4278638294,3.43E-19
0.532,0.18,13.46543444,1.590890362,1.1,7.983291562,17.30944444,-0.4736371766,1.06E-23
0.532,0.184,13.6138499,1.806707693,1.15,8.005179616,17.3192375,-0.4263634539,4.70E-19
0.532,0.188,15.48428849,2.319827771,1.1,8.025814536,17.33409357,-0.4027542428,5.42E-17
0.532,0.192,17.14127394,2.62848741,1.033333333,8.052631579,17.31789474,-0.4636997747,1.15E-22
0.532,0.196,21.080799,3.45700335,1.05,8.061988304,17.33104428,-0.4272971945,3.86E-19
0.532,0.2,23.45057798,3.895814389,1.1,8.081537176,17.34373851,-0.3878555796,8.98E-16
0.54,0,65.84444317,-0.09360561229,12.53,5.925689223,17.69097744,0.07878796633,0.1161143118
0.54,0.004,60.19894617,0.08500223308,12.18,5.926048454,17.66764411,0.0463999608,0.3552631852
0.54,0.008,62.68889939,0.04811165805,12.34,5.926240602,17.67927318,-0.01854969598,0.7118302028
0.54,0.012,62.42626936,0.1006112886,12.3275,5.930725,17.72924812,-0.093729384,0.06108966277
0.54,0.016,64.32503019,-0.08100855152,12.4375,5.939598997,17.68309524,-0.0428696648,0.393090043
0.54,0.02,63.03800305,-0.03100491022,12.36,5.943646617,17.67779449,-0.1454222917,0.003600607247
0.54,0.024,65.7573916,-0.001475444547,12.5375,5.953483709,17.69807018,-0.1188387663,0.01755959662
0.54,0.028,67.49105511,0.01972955596,12.65,5.966428571,17.68796992,0.01315401137,0.7933691188
0.54,0.032,69.74331728,0.166102178,12.8,5.978471178,17.68042607,-0.06149461886,0.2203264519
