,Hu0,a,error,skew,median,duration,r_value,p_value,swp
1586,0.748,0.02,0.7680823779,0.1512136167,10.55,7.834252297,-0.06779124475,0.176555885,26.75620301
1587,0.748,0.024,0.8252848298,0.1545610216,10.325,7.823036759,-0.02705013277,0.5900736032,26.69722222
1588,0.748,0.028,0.9008655113,0.1520046484,10.45,7.809022556,-0.07642080782,0.127522568,26.7656015
1589,0.748,0.032,1.734613279,0.139559373,10.56666667,7.77119883,-0.1065957564,0.03328434392,26.71735589
1590,0.748,0.036,1.477442045,0.2468233034,10.35,7.756829574,-0.01213269984,0.8090908643,26.74308688
1591,0.748,0.04,1.505872138,0.2740213456,10.01666667,7.671741855,-0.00761505965,0.8794742978,26.72733918
1592,0.748,0.044,1.959896787,0.3625179519,9.416666667,7.641060986,0.03106302954,0.5361231242,26.71522556
1593,0.748,0.048,1.902156426,0.7631623692,8.875,7.575605681,0.005585678836,0.9114381908,26.72013367
1594,0.748,0.052,2.18920476,0.9254387355,8.566666667,7.543253968,0.1105599149,0.02722491505,26.70543024
1595,0.748,0.056,2.114348112,1.166059504,7.966666667,7.468400167,0.09185321346,0.06681944071,26.74482038
1596,0.748,0.06,3.515264875,1.180086102,7.75,7.440204678,0.1385879434,0.005554211332,26.72479114
1597,0.748,0.064,5.513626308,1.800353283,7.216666667,7.406203008,0.1502952938,0.002613841677,26.73011696
1598,0.748,0.068,5.334882988,2.344581125,6.983333333,7.386361738,0.2003363136,5.58E-05,26.72715121
1599,0.748,0.072,5.648902465,2.306170805,6.733333333,7.385359231,0.1973306892,7.24E-05,26.69709691
1600,0.748,0.076,5.075241498,1.452596731,6.466666667,7.375146199,0.2700111445,4.29E-08,26.75045948
1601,0.748,0.08,4.932704671,1.035622093,6.316666667,7.386111111,0.3491672981,6.97E-13,26.75616124
1602,0.748,0.084,3.029488913,0.6883600181,6.166666667,7.399269006,0.3934609864,3.18E-16,26.72675439
1603,0.748,0.088,2.829933886,0.6368345555,6.016666667,7.416478697,0.4357106839,6.45E-20,26.75313283
1604,0.748,0.092,2.752522408,0.2574609603,5.883333333,7.426817043,0.5288950632,3.88E-30,26.69260652
